,2021,2020,2019,2018
current_assets,3108899000,3296593000,2995218000,2922746000
current_liabilities,1060434000,1065331000,859227000,796096000
short_debt,5576000,7278000,1660000,0
long_debt,5636000,9396000,131000,0
equity,4116261000,4043183000,3712318000,3595173000
minority_interest,165622000,147504000,122753000,114637000
cash,1790954000,1607247000,1505261000,1384707000
non_op_asset,402901000,772662000,709650000,733306000
ppe,1854936000,1704401000,1517342000,1400067000
